date,temperature_2m
2024-03-28 11:00:00+00:00,38.819
2024-03-28 12:00:00+00:00,35.669
2024-03-28 13:00:00+00:00,33.268997
2024-03-28 14:00:00+00:00,31.219
2024-03-28 15:00:00+00:00,30.269001
2024-03-28 16:00:00+00:00,28.419
2024-03-28 17:00:00+00:00,28.669
2024-03-28 18:00:00+00:00,27.719
2024-03-28 19:00:00+00:00,26.319
2024-03-28 20:00:00+00:00,25.269001
2024-03-28 21:00:00+00:00,24.419
2024-03-28 22:00:00+00:00,25.069
2024-03-28 23:00:00+00:00,24.619001
2024-03-29 00:00:00+00:00,23.519001
2024-03-29 01:00:00+00:00,23.469
2024-03-29 02:00:00+00:00,26.919
2024-03-29 03:00:00+00:00,30.919
2024-03-29 04:00:00+00:00,33.619
2024-03-29 05:00:00+00:00,35.768997
2024-03-29 06:00:00+00:00,37.768997
2024-03-29 07:00:00+00:00,39.218998
2024-03-29 08:00:00+00:00,39.968998
2024-03-29 09:00:00+00:00,39.869
2024-03-29 10:00:00+00:00,38.768997
2024-03-29 11:00:00+00:00,38.619
2024-03-29 12:00:00+00:00,37.419
2024-03-29 13:00:00+00:00,30.769001
2024-03-29 14:00:00+00:00,29.369001
2024-03-29 15:00:00+00:00,28.719
2024-03-29 16:00:00+00:00,27.569
2024-03-29 17:00:00+00:00,27.019001
2024-03-29 18:00:00+00:00,26.919
2024-03-29 19:00:00+00:00,26.119001
2024-03-29 20:00:00+00:00,25.469
2024-03-29 21:00:00+00:00,24.819
2024-03-29 22:00:00+00:00,25.019001
2024-03-29 23:00:00+00:00,24.319
2024-03-30 00:00:00+00:00,23.469
2024-03-30 01:00:00+00:00,26.969
2024-03-30 02:00:00+00:00,29.119001
2024-03-30 03:00:00+00:00,30.919
2024-03-30 04:00:00+00:00,32.669
2024-03-30 05:00:00+00:00,34.319
2024-03-30 06:00:00+00:00,35.968998
2024-03-30 07:00:00+00:00,36.869
2024-03-30 08:00:00+00:00,37.419
2024-03-30 09:00:00+00:00,37.518997
2024-03-30 10:00:00+00:00,37.268997
2024-03-30 11:00:00+00:00,36.919
2024-03-30 12:00:00+00:00,35.419
2024-03-30 13:00:00+00:00,35.018997
2024-03-30 14:00:00+00:00,33.169
2024-03-30 15:00:00+00:00,29.819
2024-03-30 16:00:00+00:00,27.369001
2024-03-30 17:00:00+00:00,26.919
2024-03-30 18:00:00+00:00,27.269001
2024-03-30 19:00:00+00:00,25.269001
2024-03-30 20:00:00+00:00,25.269001
2024-03-30 21:00:00+00:00,25.419
